ID,MEDV
0 , 21.910145054
1 , 26.114260489
2 , 15.026081527
3 , 19.863502382
4 , 21.756307428
5 , 21.974900447
6 , 19.256904921
7 , 22.651747669
8 , 34.129945583
9 , 19.079705590
10 , 25.356845519
11 , 24.295868805
12 , 21.929160322
13 , 18.777354783
14 , 23.691902901
15 , 24.333630181
16 , 16.957986230
17 , 26.302181488
18 , 20.710379764
19 , 23.544377041
20 , 25.210109024
21 , 36.989352644
22 , 23.208004592
23 , 9.656132709
24 , 14.565602886
25 , 7.729351820
26 , 17.698829173
27 , 21.238083484
28 , 22.723630276
29 , 14.446314602
30 , 37.427567387
31 , 19.804822932
32 , 20.249370271
33 , 17.866802464
34 , 24.064012414
35 , 21.221618331
36 , 28.905709082
37 , 30.283674745
38 , 39.763641863
39 , 27.218705795
40 , 17.689630206
41 , 30.893283887
42 , 24.467995287
43 , 18.899758317
44 , 22.328343115
45 , 26.105365168
46 , 19.268277156
47 , 24.881371264
48 , 14.952692608
49 , 14.220041549
50 , 20.435202637
51 , 34.804440501
52 , 22.684173124
53 , -5.297723111
54 , 12.013545146
55 , 17.096379326
56 , 20.202078034
57 , 12.680571423
58 , 10.005957379
59 , 19.929863850
60 , 19.825309221
61 , 19.110943877
62 , 37.110608429
63 , 22.991243233
64 , 36.128148055
65 , 31.415445455
66 , 15.883972848
67 , 20.689807800
68 , 25.708371809
69 , 15.726373545
70 , 20.375577828
71 , 18.186056911
72 , 28.221507391
73 , 12.847719314
74 , 21.053094989
75 , 15.318614492
76 , 19.817673542
77 , 28.825694860
78 , 20.392324973
79 , 31.643132140
80 , 31.003294287
81 , 44.539094100
82 , 27.635626613
83 , 29.331177769
84 , 18.836634288
85 , 33.266202719
86 , 17.096403674
87 , 28.203059018
88 , 16.313010011
89 , 20.090953164
90 , 16.166935239
91 , 20.175738233
92 , 14.555130056
93 , 21.083102231
94 , 20.299440709
95 , 24.061725182
96 , 34.839628682
97 , 1.796248959
98 , 14.302466043
99 , 27.518551656
100 , 25.814759060
101 , 16.990449150
102 , 28.106438360
103 , 33.127542770
104 , 12.089367019
